sequence,codec,qp,branch,reconstruction,status,kbps,bpp,psnr_y,ssim_y,encode_fps,decode_fps,stage_sum_fps,realtime_speed,error
ReadySetGo,h264,22,low,low_native,ok,12694.74,0.4591558159722222,38.022285210408015,0.9794294583333333,606.6075332131255,591.8196140771357,95.02423189192191,0.7918685990993493,
ReadySetGo,h264,27,low,low_native,ok,6102.86,0.22073423032407408,34.2742568608936,0.9591803645833333,602.9484026172632,505.7460948486992,92.41111954391138,0.7700926628659281,
ReadySetGo,h264,32,low,low_native,ok,2792.66,0.10100766782407407,30.715807827765236,0.9169238645833334,630.0865087147772,458.1167697609459,91.2796168292613,0.7606634735771775,
ReadySetGo,h264,37,low,low_native,ok,1239.55,0.04483326099537037,27.654490022719035,0.8506937395833334,578.9924041285057,760.9987144202098,97.78405532412823,0.8148671277010686,
ReadySetGo,h264,42,low,low_native,ok,564.05,0.020401114004629628,24.56644954984942,0.7456626875,465.79170638034986,767.9933215140913,94.0345237662497,0.7836210313854142,
ReadySetGo,h264,47,low,low_native,ok,324.02,0.01171947337962963,21.338687757201203,0.5653748125,618.8784660017395,602.5829076126917,95.59531282551904,0.7966276068793253,
ReadySetGo,h264,51,low,low_native,ok,260.91,0.009436848958333334,20.87322330261619,0.49684713541666664,567.6712701800722,743.7722266520702,97.16760657711285,0.8097300548092737,
ReadySetGo,hevc,22,low,low_native,ok,12404.22,0.4486480034722222,40.75084764227754,0.98689609375,441.685456246322,564.0680607315418,89.1082500510087,0.7425687504250724,
ReadySetGo,hevc,27,low,low_native,ok,6148.22,0.22237485532407408,37.092695157170745,0.9743509583333333,498.81859233276737,600.1858475479438,92.1123926016745,0.7676032716806208,
ReadySetGo,hevc,32,low,low_native,ok,2942.87,0.1064406105324074,33.848662370176996,0.9525182916666667,431.84774754347654,539.9137602482074,88.08094246657889,0.7340078538881574,
ReadySetGo,hevc,37,low,low_native,ok,1416.67,0.05123951099537037,30.96744811606305,0.9171098020833334,589.764424620579,553.4664375586948,93.56461040499481,0.7797050867082901,
ReadySetGo,hevc,42,low,low_native,ok,661.3,0.023918547453703705,28.195908572419963,0.8609931458333334,585.4577312554604,647.6121454105789,95.80733260393632,0.798394438366136,
ReadySetGo,hevc,47,low,low_native,ok,304.08,0.010998263888888889,25.70116769046427,0.7844117291666667,558.6555214590793,470.34711783314725,90.07778503828081,0.75064820865234,
ReadySetGo,hevc,51,low,low_native,ok,162.54,0.00587890625,23.737391128366436,0.7036866458333333,598.0562163795986,576.0371981828903,94.39752814124364,0.786646067843697,
ReadySetGo,av1,24,low,low_native,ok,9970.7,0.3606300636574074,41.3050286067932,0.98939534375,17.869704002599143,489.0645821727251,15.339594669866452,0.12782995558222043,
ReadySetGo,av1,32,low,low_native,ok,5495.33,0.19876048900462964,38.53666279532352,0.9823354583333334,18.348828590642743,617.9368490574487,15.79701584211269,0.13164179868427242,
ReadySetGo,av1,40,low,low_native,ok,3019.67,0.10921838831018518,35.70676120565415,0.9693221666666667,19.50845997352165,528.3851938574834,16.573362419915007,0.13811135349929174,
ReadySetGo,av1,48,low,low_native,ok,1627.33,0.05885886863425926,32.93871940881002,0.9459784583333333,21.315129842982806,507.82247895051495,17.834964044288114,0.1486247003690676,
ReadySetGo,av1,54,low,low_native,ok,995.21,0.035995732060185186,30.973964176578317,0.9189583541666666,21.644089668620875,766.5718031424063,18.28423861182573,0.15236865509854777,
ReadySetGo,av1,59,low,low_native,ok,642.76,0.023247974537037037,29.324632455610406,0.8910061874999999,23.999365354790637,608.5812890606973,19.80341173389102,0.16502843111575852,
ReadySetGo,av1,63,low,low_native,ok,384.71,0.01391456886574074,27.420214862881277,0.8488474791666666,26.35939337296366,535.9636194556819,21.281869337187455,0.1773489111432288,
ReadySetGo,mlvc,0,low,low_native,ok,104.12,0.003765914351851852,22.738492219371867,0.6053484375,7.652429203626258,8.36691366606522,3.851661680537633,0.03209718067114694,
ReadySetGo,mlvc,12,low,low_native,ok,221.52,0.008012152777777778,25.20969494070584,0.75594603125,7.656467303826222,8.348170197807862,3.853707508895905,0.03211422924079921,
ReadySetGo,mlvc,21,low,low_native,ok,389.62,0.014092158564814815,27.152372559149956,0.8299380208333332,7.666410457038012,8.227644875399559,3.824961091724756,0.031874675764372966,
ReadySetGo,mlvc,30,low,low_native,ok,674.39,0.024391999421296297,29.097472822517545,0.8854184687500001,7.6770779186646445,8.370139179961582,3.8748221875570255,0.03229018489630855,
ReadySetGo,mlvc,39,low,low_native,ok,1161.51,0.042010633680555555,31.038660686460737,0.9240916874999999,7.660843772101327,8.253449293070139,3.843213120789539,0.03202677600657949,
ReadySetGo,mlvc,48,low,low_native,ok,1966.02,0.07110894097222223,32.811944834817396,0.9482062708333333,7.69354189486124,8.07905928885895,3.8053726437254496,0.03171143869771208,
ReadySetGo,mlvc,63,low,low_native,ok,4411.31,0.15955258969907407,35.51539949602528,0.9711961458333334,7.6925219678757095,8.0941241741633,3.8126600507282093,0.03177216708940175,
ShakeNDry,h264,22,low,low_native,ok,18409.76,0.6658622685185185,37.60646951950518,0.9605852291666667,605.8008574796941,549.1516873574235,94.46781963236434,0.7872318302697028,
ShakeNDry,h264,27,low,low_native,ok,5462.86,0.19758608217592594,33.56921590828689,0.8966291666666666,451.5763655973514,401.59840011687976,84.61359333606674,0.7051132778005562,
ShakeNDry,h264,32,low,low_native,ok,1431.77,0.05178566261574074,31.014875210079822,0.8304936458333333,549.7471712783612,724.5497594997184,96.96402878586365,0.8080335732155304,
ShakeNDry,h264,37,low,low_native,ok,553.2,0.020008680555555554,29.08463980901203,0.7618204479166667,557.9454542126249,647.412043512816,95.68628400183798,0.7973857000153165,
ShakeNDry,h264,42,low,low_native,ok,230.26,0.008328269675925926,27.03999130127603,0.64888446875,540.5794768738931,781.0871781538756,97.61763242739676,0.8134802702283063,
ShakeNDry,h264,47,low,low_native,ok,106.42,0.003849103009259259,25.250494648882302,0.5150115,552.5027699272425,777.872773686825,97.94875403038523,0.8162396169198769,
ShakeNDry,h264,51,low,low_native,ok,70.33,0.0025437644675925927,24.48781722015034,0.44646874999999997,520.1728983147073,620.271672284741,93.9094827882053,0.7825790232350441,
ShakeNDry,hevc,22,low,low_native,ok,21087.9,0.7627278645833333,40.19006415821234,0.97864459375,561.6810416206642,514.4089868855036,92.2656840081078,0.7688807000675649,
ShakeNDry,hevc,27,low,low_native,ok,9288.88,0.3359693287037037,36.62202448080376,0.9500826770833334,465.4156942458273,411.76357580304796,85.53506058892383,0.7127921715743653,
ShakeNDry,hevc,32,low,low_native,ok,2833.62,0.10248914930555555,33.52585003005922,0.8949302499999999,491.61376812293264,534.8695410535527,90.76346248047288,0.756362187337274,
ShakeNDry,hevc,37,low,low_native,ok,769.93,0.02784758391203704,31.1407507153867,0.8286753854166666,488.52239283503616,546.6176453172997,90.98900579502866,0.7582417149585722,
ShakeNDry,hevc,42,low,low_native,ok,319.62,0.01156032986111111,29.074592899831813,0.7533188958333333,451.86116813536245,333.6067947624013,81.13901413154964,0.6761584510962471,
ShakeNDry,hevc,47,low,low_native,ok,146.59,0.0053020109953703706,27.086704330241567,0.6439628125,584.1056635007488,590.1317867638679,95.0527592374354,0.7921063269786283,
ShakeNDry,hevc,51,low,low_native,ok,76.58,0.002769820601851852,25.48920723028276,0.5321727083333333,577.707818692419,529.311457272248,93.16067394670286,0.7763389495558571,
